,zipcode,month,year,totalcustomers_elec,totalkwh,class_factor,combined_factor,num_farmers,num_residents,num_workers,num_officers,totalcustomers_gas,totalthm,gas_residential,gas_commercial
238,94102,2,2013,955,10140320,1,1,,,,955.0,364.0,269044.0,,269044.0
239,94102,3,2013,963,12739033,1,1,,,,963.0,371.0,282555.0,,282555.0
240,94103,1,2013,1699,23015962,1,1,,,,1699.0,864.0,417461.0,,417461.0
241,94103,2,2013,1703,20836079,1,1,,,,1703.0,869.0,346266.0,,346266.0
242,94103,3,2013,1739,22739276,1,1,,,,1739.0,868.0,329859.0,,329859.0
243,94104,1,2013,104,6994891,1,1,,,,104.0,51.0,95023.0,,95023.0
244,94104,2,2013,121,6537162,1,1,,,,121.0,53.0,70242.0,,70242.0
245,94104,3,2013,121,7427713,1,1,,,,121.0,53.0,66944.0,,66944.0
246,94105,1,2013,380,15619045,1,1,,,,380.0,141.0,266040.0,,266040.0
247,94105,2,2013,391,14920613,1,1,,,,391.0,139.0,208448.0,,208448.0
248,94105,3,2013,395,16336960,1,1,,,,395.0,139.0,202914.0,,202914.0
249,94107,1,2013,1352,17028386,1,0,,,,1352.0,608.0,443735.0,,443735.0
250,94107,2,2013,1369,16414784,1,0,,,,1369.0,618.0,362333.0,,362333.0
251,94107,3,2013,1392,18376250,1,0,,,,1392.0,627.0,351805.0,,351805.0
252,94108,1,2013,976,8091140,1,1,,,,976.0,357.0,152249.0,,152249.0
253,94108,2,2013,1046,7923811,1,1,,,,1046.0,357.0,146633.0,,146633.0
254,94108,3,2013,1077,10005145,1,1,,,,1077.0,361.0,155753.0,,155753.0
255,94109,1,2013,1916,13188312,1,0,,,,1916.0,,,,
256,94109,2,2013,1981,12464207,1,0,,,,1981.0,,,,
257,94109,3,2013,2104,15075226,1,0,,,,2104.0,,,,
258,94110,1,2013,1682,6684779,1,1,,,,1682.0,,,,
259,94110,2,2013,1694,6132005,1,1,,,,1694.0,,,,
260,94110,3,2013,1708,6790240,1,1,,,,1708.0,,,,
261,94111,1,2013,377,10168257,1,0,,,,377.0,,,,
262,94111,2,2013,380,9475737,1,0,,,,380.0,,,,
263,94111,3,2013,395,10410437,1,0,,,,395.0,,,,
264,94112,1,2013,704,3099836,1,1,,,,704.0,,,,
265,94112,2,2013,709,2863660,1,1,,,,709.0,,,,
266,94112,3,2013,715,3213294,1,1,,,,715.0,,,,
267,94114,1,2013,893,3877715,1,0,,,,893.0,,,,
268,94114,2,2013,889,3516016,1,0,,,,889.0,,,,
269,94114,3,2013,895,3960833,1,0,,,,895.0,,,,
270,94116,1,2013,950,3382675,1,0,,,,950.0,,,,
271,94116,2,2013,954,3245040,1,0,,,,954.0,,,,
272,94116,3,2013,983,3528171,1,0,,,,983.0,327.0,144526.0,,144526.0
273,94117,1,2013,587,2229787,1,1,,,,587.0,,,,
274,94117,2,2013,592,2031186,1,1,,,,592.0,,,,
275,94117,3,2013,598,2318537,1,1,,,,598.0,,,,
276,94118,1,2013,2195,9336762,1,0,,,,2195.0,802.0,357616.0,,357616.0
277,94118,2,2013,2221,8629979,1,0,,,,2221.0,812.0,303858.0,,303858.0
278,94118,3,2013,2267,9861082,1,0,,,,2267.0,1195.0,525950.0,,525950.0
279,94123,1,2013,798,2184271,1,1,,,,798.0,363.0,117595.0,,117595.0
280,94123,2,2013,805,2049617,1,1,,,,805.0,364.0,100665.0,,100665.0
281,94123,3,2013,834,2383360,1,1,,,,834.0,364.0,105116.0,,105116.0
282,94124,1,2013,1221,7463338,1,1,,,,1221.0,,,,
283,94124,2,2013,1228,6870579,1,1,,,,1228.0,,,,
284,94124,3,2013,1243,7556552,1,1,,,,1243.0,,,,
285,94133,1,2013,1095,7105640,1,1,,,,1095.0,482.0,261192.0,,261192.0
286,94133,2,2013,1116,7141376,1,1,,,,1116.0,485.0,230217.0,,230217.0
287,94133,3,2013,1175,8363232,1,1,,,,1175.0,493.0,251000.0,,251000.0
288,94134,1,2013,267,1354618,1,1,,,,267.0,,,,
289,94134,2,2013,270,1247957,1,1,,,,270.0,,,,
290,94134,3,2013,277,1407375,1,1,,,,277.0,,,,
291,94401,1,2013,901,4492098,1,1,,,,901.0,580.0,210746.0,,210746.0
292,94401,2,2013,900,4224122,1,1,,,,900.0,585.0,172739.0,,172739.0
293,94401,3,2013,895,4454222,1,1,,,,895.0,583.0,159786.0,,159786.0
294,94402,1,2013,839,6546752,1,0,,,,839.0,,,,
295,94402,2,2013,840,5922941,1,0,,,,840.0,,,,
296,94402,3,2013,841,6579471,1,0,,,,841.0,,,,
297,94403,1,2013,1205,24349794,1,0,,,,1205.0,712.0,480724.0,,480724.0
298,94403,2,2013,1211,22217488,1,0,,,,1211.0,713.0,390446.0,,390446.0
299,94403,3,2013,1210,24721147,1,0,,,,1210.0,719.0,345667.0,,345667.0
300,94503,3,2013,265,2638129,1,1,,,,265.0,107.0,13711.0,,13711.0
301,94506,1,2013,331,2245228,1,0,,,,331.0,138.0,114001.0,,114001.0
302,94506,2,2013,348,2352521,1,0,,,,348.0,138.0,87403.0,,87403.0
303,94506,3,2013,351,2842513,1,0,,,,351.0,139.0,73730.0,,73730.0
304,94508,1,2013,79,202193,1,0,,,,79.0,,,,
305,94508,2,2013,85,206316,1,0,,,,85.0,,,,
306,94508,3,2013,84,227296,1,0,,,,84.0,,,,
307,94509,1,2013,1202,9291441,1,1,,,,1202.0,,,,
308,94509,2,2013,1197,8315095,1,1,,,,1197.0,,,,
309,94509,3,2013,1202,9325265,1,1,,,,1202.0,,,,
310,94510,1,2013,943,5418318,1,1,,,,943.0,500.0,151690.0,,151690.0
311,94510,2,2013,942,4878907,1,1,,,,942.0,500.0,99390.0,,99390.0
312,94510,3,2013,940,5209558,1,1,,,,940.0,503.0,70803.0,,70803.0
313,94511,1,2013,106,302745,1,1,,,,106.0,,,,
314,94511,2,2013,103,252878,1,1,,,,103.0,,,,
315,94511,3,2013,103,252775,1,1,,,,103.0,,,,
316,94513,1,2013,1119,7915268,1,1,,,,1119.0,,,,
317,94513,2,2013,1124,7200705,1,1,,,,1124.0,,,,
318,94513,3,2013,1123,8055572,1,1,,,,1123.0,,,,
319,94514,1,2013,183,1662952,1,0,,,,183.0,,,,
320,94515,1,2013,703,2597666,1,0,,,,703.0,,,,
321,94515,2,2013,725,2646661,1,0,,,,725.0,,,,
322,94515,3,2013,722,2729336,1,0,,,,722.0,,,,
323,94518,1,2013,2531,25359360,1,0,,,,2531.0,638.0,314082.0,,314082.0
324,94518,2,2013,1514,10086286,1,0,,,,1514.0,641.0,213801.0,,213801.0
325,94520,1,2013,1684,17214977,1,1,,,,1684.0,937.0,491904.0,,491904.0
326,94520,2,2013,1710,15393671,1,1,,,,1710.0,940.0,344575.0,,344575.0
327,94520,3,2013,3261,32347947,1,0,,,,3261.0,,,,
328,94530,1,2013,1372,4553175,1,0,,,,1372.0,249.0,93109.0,,93109.0
329,94530,3,2013,1430,5230050,1,0,,,,1430.0,252.0,62864.0,,62864.0
330,94533,1,2013,1362,10367704,1,0,,,,1362.0,836.0,535159.0,,535159.0
331,94533,2,2013,1379,9134613,1,0,,,,1379.0,833.0,378591.0,,378591.0
332,94533,3,2013,1409,10657147,1,0,,,,1409.0,840.0,326875.0,,326875.0
333,94534,1,2013,535,5894193,1,1,,,,535.0,317.0,229923.0,,229923.0
334,94534,2,2013,546,5271381,1,1,,,,546.0,317.0,160180.0,,160180.0
335,94534,3,2013,550,6048795,1,1,,,,550.0,319.0,132930.0,,132930.0
336,94536,1,2013,813,4055138,1,1,,,,813.0,,,,
337,94536,2,2013,814,3660712,1,1,,,,814.0,,,,
338,94536,3,2013,818,4072912,1,1,,,,818.0,,,,
339,94538,1,2013,2407,34753128,1,1,,,,2407.0,1186.0,917886.0,,917886.0
340,94538,2,2013,2424,32427349,1,1,,,,2424.0,1187.0,716315.0,,716315.0
341,94538,3,2013,2431,36405637,1,1,,,,2431.0,1200.0,578308.0,,578308.0
342,94539,1,2013,1063,11608444,1,0,,,,1063.0,457.0,287051.0,,287051.0
343,94539,2,2013,1080,10741069,1,0,,,,1080.0,462.0,211383.0,,211383.0
344,94539,3,2013,1087,12028413,1,0,,,,1087.0,464.0,162719.0,,162719.0
345,94541,1,2013,1161,5170469,1,1,,,,1161.0,702.0,244721.0,,244721.0
346,94541,2,2013,1172,4700549,1,1,,,,1172.0,700.0,195586.0,,195586.0
347,94541,3,2013,1189,5214065,1,1,,,,1189.0,701.0,160405.0,,160405.0
348,94544,1,2013,1430,8329951,1,0,,,,1430.0,772.0,349248.0,,349248.0
349,94544,2,2013,1442,7834501,1,0,,,,1442.0,768.0,273738.0,,273738.0
350,94544,3,2013,1457,8828925,1,0,,,,1457.0,1406.0,517285.0,,517285.0
351,94545,1,2013,1901,18818170,1,1,,,,1901.0,1147.0,579370.0,,579370.0
352,94545,2,2013,1924,17400010,1,1,,,,1924.0,1152.0,447685.0,,447685.0
353,94545,3,2013,1966,19493070,1,1,,,,1966.0,1153.0,411205.0,,411205.0
354,94546,2,2013,748,3226113,1,1,,,,748.0,480.0,128609.0,,128609.0
355,94546,3,2013,752,3510728,1,1,,,,752.0,482.0,109425.0,,109425.0
356,94549,1,2013,872,4021003,1,0,,,,872.0,509.0,233188.0,,233188.0
357,94549,2,2013,677,2828867,1,1,,,,677.0,,,,
358,94549,3,2013,676,3151433,1,1,,,,676.0,,,,
359,94550,1,2013,1189,7801900,1,1,,,,1189.0,637.0,302721.0,,302721.0
360,94550,2,2013,1200,7217135,1,1,,,,1200.0,636.0,221420.0,,221420.0
361,94550,3,2013,1216,8123852,1,1,,,,1216.0,635.0,159368.0,,159368.0
362,94551,1,2013,1168,10115744,1,1,,,,1168.0,,,,
363,94551,2,2013,1372,10823885,1,0,,,,1372.0,830.0,270582.0,,270582.0
364,94551,3,2013,1400,12184262,1,0,,,,1400.0,1284.0,521233.0,,521233.0
365,94553,1,2013,2144,15992949,1,0,,,,2144.0,1038.0,600909.0,,600909.0
366,94553,2,2013,2175,14849179,1,0,,,,2175.0,1136.0,442675.0,,442675.0
367,94553,3,2013,2191,16705636,1,0,,,,2191.0,1147.0,336369.0,,336369.0
368,94556,2,2013,204,1241792,1,1,,,,204.0,,,,
369,94556,3,2013,205,1343187,1,1,,,,205.0,,,,
370,94558,1,2013,1632,12403509,1,0,,,,1632.0,853.0,322116.0,,322116.0
371,94558,2,2013,1636,11640115,1,0,,,,1636.0,859.0,241686.0,,241686.0
372,94558,3,2013,1641,12878452,1,0,,,,1641.0,867.0,208456.0,,208456.0
373,94559,1,2013,973,5298549,1,1,,,,973.0,569.0,148608.0,,148608.0
